,2014 offence or offence category,2014 sex,2014 total suspects number,2014 children under 21,2014 adults 21>,2015 offence or offence category,2015 sex,2015 total suspects number,2015 children under 21,2015 adults 21>,2016 offence or offence category,2016 sex,2016 total suspects number,2016 children under 21,2016 adults 21>,2017 offence or offence category,2017 sex,2017 total suspects number,2017 children under 21,2017 adults 21>,2018 offence or offence category,2018 sex,2018 total suspects number,2018 children under 21,2018 adults 21>,2019 offence or offence category,2019 sex,2019 total suspects number,2019 children under 21,2019 adults 21>,2020 offence or offence category,2020 sex,2020 total suspects number,2020 children under 21,2020 adults 21>,2021 offence or offence category,2021 sex,2021 total suspects number,2021 children under 21,2021 adults 21>,2022 offence or offence category,2022 sex,2022 total suspects number,2022 children under 21,2022 adults 21>,2023 offence or offence category,2023 sex,2023 total suspects number,2023 children under 21,2023 adults 21>
2965,"unauthorised production of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",f,7.0,1.0,6.0,unauthorised production of cocaine including crack (not insignificant amounts),f,1.0,0.0,1.0,unauthorised dispensing and possession of heroin (not insignificant amount),f,31.0,0.0,31.0,smuggling (sect. 29 NCA) - of other drugs,f,50.0,7.0,43.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,f,2087.0,880.0,1207.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,W,2141.0,793.0,1348.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,W,2314.0,794.0,1520.0,unauthorised trafficking and smuggling of other drugs,W,642.0,105.0,537.0,general violation - involving cannabis and preparations thereof,W,17784,6792,10992,general violation - involving other drugs,f,1970.0,499.0,1471.0
2966,"unauthorised production of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",x,45.0,3.0,42.0,unauthorised production of cocaine including crack (not insignificant amounts),x,2.0,0.0,2.0,unauthorised dispensing and possession of heroin (not insignificant amount),x,199.0,10.0,189.0,smuggling (sect. 29 NCA) - of other drugs,x,301.0,30.0,271.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,x,28287.0,12324.0,15963.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,X,28624.0,11820.0,16804.0,unauthorised trafficking and smuggling of cannabis and preparations thereof,X,29118.0,11313.0,17805.0,unauthorised trafficking and smuggling of other drugs,X,4368.0,950.0,3418.0,general violation - involving cannabis and preparations thereof,X,148021,46406,101615,general violation - involving other drugs,m,13721.0,2658.0,11063.0
2967,unauthorised production of cannabis and preparations thereof (not insignificant amounts),m,492.0,28.0,464.0,unauthorised production of LSD (not insignificant amounts),m,4.0,0.0,4.0,unauthorised dispensing and possession of cocaine including crack (not insignificant amount),m,240.0,21.0,219.0,"unauthorised importation of drugs (sect. 30 (1) no. 4 NCA
(significant amounts)",m,1935.0,147.0,1788.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,m,21378.0,10596.0,10782.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,M,20784.0,10102.0,10682.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,M,20905.0,9646.0,11259.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,M,3205.0,773.0,2432.0,general violation - involving other drugs,M,11715,2292,9423,"unauthorised trafficking in, and smuggling of drugs under sect. 29 NCA",x,40771.0,10127.0,30644.0
2968,unauthorised production of cannabis and preparations thereof (not insignificant amounts),f,70.0,5.0,65.0,unauthorised production of LSD (not insignificant amounts),f,0.0,0.0,0.0,unauthorised dispensing and possession of cocaine including crack (not insignificant amount),f,20.0,2.0,18.0,"unauthorised importation of drugs (sect. 30 (1) no. 4 NCA
(significant amounts)",f,307.0,28.0,279.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,f,1529.0,744.0,785.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,W,1499.0,662.0,837.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,W,1602.0,675.0,927.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,W,523.0,98.0,425.0,general violation - involving other drugs,W,2026,496,1530,"unauthorised trafficking in, and smuggling of drugs under sect. 29 NCA",f,4526.0,969.0,3557.0
2969,unauthorised production of cannabis and preparations thereof (not insignificant amounts),x,562.0,33.0,529.0,unauthorised production of LSD (not insignificant amounts),x,4.0,0.0,4.0,unauthorised dispensing and possession of cocaine including crack (not insignificant amount),x,260.0,23.0,237.0,"unauthorised importation of drugs (sect. 30 (1) no. 4 NCA
(significant amounts)",x,2242.0,175.0,2067.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,x,22907.0,11340.0,11567.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,X,22283.0,10764.0,11519.0,unauthorised trafficking (Sect. 29 NCA) - involving cannabis and preparations thereof,X,22507.0,10321.0,12186.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,X,3728.0,871.0,2857.0,general violation - involving other drugs,X,13741,2788,10953,"unauthorised trafficking in, and smuggling of drugs under sect. 29 NCA",w,45297.0,11096.0,34201.0
2970,unauthorised production of other drugs (not insignificant amounts),m,18.0,3.0,15.0,unauthorised production of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (not insignificant amounts),m,55.0,5.0,50.0,unauthorised dispensing and possession of LSD (not insignificant amount),m,8.0,1.0,7.0,unauthorised importation of heroin (not insignificant amounts),m,247.0,8.0,239.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,m,4892.0,884.0,4008.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,M,5748.0,946.0,4802.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,M,5971.0,898.0,5073.0,smuggling (sect. 29 NCA) - of other drugs,M,522.0,72.0,450.0,"unauthorised trafficking in, and smuggling of drugs under sect. 29 NCA",M,39504,10249,29255,unauthorised trafficking in/smuggling of heroin,m,1226.0,64.0,1162.0
2971,unauthorised production of other drugs (not insignificant amounts),f,1.0,0.0,1.0,unauthorised production of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (not insignificant amounts),f,6.0,0.0,6.0,unauthorised dispensing and possession of LSD (not insignificant amount),f,0.0,0.0,0.0,unauthorised importation of heroin (not insignificant amounts),f,39.0,0.0,39.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,f,558.0,136.0,422.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,W,643.0,132.0,511.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,W,713.0,119.0,594.0,smuggling (sect. 29 NCA) - of other drugs,W,120.0,7.0,113.0,"unauthorised trafficking in, and smuggling of drugs under sect. 29 NCA",W,4853,1052,3801,unauthorised trafficking in/smuggling of heroin,f,145.0,2.0,143.0
2972,unauthorised production of other drugs (not insignificant amounts),x,19.0,3.0,16.0,unauthorised production of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (not insignificant amounts),x,61.0,5.0,56.0,unauthorised dispensing and possession of LSD (not insignificant amount),x,8.0,1.0,7.0,unauthorised importation of heroin (not insignificant amounts),x,286.0,8.0,278.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,x,5450.0,1020.0,4430.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,X,6391.0,1078.0,5313.0,smuggling (sect. 29 NCA) - of cannabis and preparations thereof,X,6684.0,1017.0,5667.0,smuggling (sect. 29 NCA) - of other drugs,X,642.0,79.0,563.0,"unauthorised trafficking in, and smuggling of drugs under sect. 29 NCA",X,44357,11301,33056,unauthorised trafficking in/smuggling of heroin,x,1371.0,66.0,1305.0
2973,offences against supplementary penal provisions in the environmental sector (in addition to key no. 716000),m,4353.0,272.0,4081.0,"unauthorised production of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",m,28.0,3.0,25.0,unauthorised dispensing and possession of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (not insignificant amounts),m,378.0,42.0,336.0,unauthorised importation of cocaine (not insignificant amounts),m,402.0,14.0,388.0,unauthorised trafficking and smuggling of other drugs,m,3052.0,805.0,2247.0,unauthorised trafficking and smuggling of other drugs,M,3192.0,815.0,2377.0,unauthorised trafficking and smuggling of other drugs,M,3458.0,803.0,2655.0,unauthorised importation of drugs (sect. 30 (1) no. 4 NCA (significant amounts),M,1610.0,159.0,1451.0,unauthorised trafficking in/smuggling of heroin,M,1271,57,1214,unauthorised trafficking (sect. 29 NCAct) - involving heroin,w,1118.0,58.0,1060.0
2974,offences against supplementary penal provisions in the environmental sector (in addition to key no. 716000),f,1227.0,92.0,1135.0,"unauthorised production of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",f,3.0,0.0,3.0,unauthorised dispensing and possession of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (not insignificant amounts),f,53.0,1.0,52.0,unauthorised importation of cocaine (not insignificant amounts),f,52.0,2.0,50.0,unauthorised trafficking and smuggling of other drugs,f,393.0,64.0,329.0,unauthorised trafficking and smuggling of other drugs,W,474.0,81.0,393.0,unauthorised trafficking and smuggling of other drugs,W,547.0,87.0,460.0,unauthorised importation of drugs (sect. 30 (1) no. 4 NCA (significant amounts),W,243.0,29.0,214.0,unauthorised trafficking in/smuggling of heroin,W,158,4,154,unauthorised trafficking (sect. 29 NCAct) - involving heroin,f,128.0,1.0,127.0
2975,offences against supplementary penal provisions in the environmental sector (in addition to key no. 716000),x,5580.0,364.0,5216.0,"unauthorised production of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",x,31.0,3.0,28.0,unauthorised dispensing and possession of amphetamine and its derivatives in powder or liquid form or in tablet or capsule form (ecstasy) (not insignificant amounts),x,431.0,43.0,388.0,unauthorised importation of cocaine (not insignificant amounts),x,454.0,16.0,438.0,unauthorised trafficking and smuggling of other drugs,x,3445.0,869.0,2576.0,unauthorised trafficking and smuggling of other drugs,X,3666.0,896.0,2770.0,unauthorised trafficking and smuggling of other drugs,X,4005.0,890.0,3115.0,unauthorised importation of drugs (sect. 30 (1) no. 4 NCA (significant amounts),X,1853.0,188.0,1665.0,unauthorised trafficking in/smuggling of heroin,X,1429,61,1368,unauthorised trafficking (sect. 29 NCAct) - involving heroin,m,1246.0,59.0,1187.0
2976,Transplant Act (unauthorised organ trafficking),m,2.0,0.0,2.0,unauthorised production of cannabis and preparations thereof (not insignificant amounts),m,645.0,36.0,609.0,"unauthorised dispensing and possession of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",m,96.0,14.0,82.0,unauthorised importation of crack (not insignificant amounts),m,0.0,0.0,0.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,m,2815.0,766.0,2049.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,M,2858.0,765.0,2093.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,M,3104.0,754.0,2350.0,unauthorised importation of heroin (not insignificant amounts),M,154.0,7.0,147.0,unauthorised trafficking (sect. 29 NCAct) - involving heroin,M,1182,54,1128,smuggling (sect. 29 NCA) - of heroin,x,111.0,6.0,105.0
2977,Transplant Act (unauthorised organ trafficking),f,0.0,0.0,0.0,unauthorised production of cannabis and preparations thereof (not insignificant amounts),f,87.0,8.0,79.0,"unauthorised dispensing and possession of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",f,27.0,4.0,23.0,unauthorised importation of crack (not insignificant amounts),f,0.0,0.0,0.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,f,350.0,60.0,290.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,W,406.0,75.0,331.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,W,433.0,76.0,357.0,unauthorised importation of heroin (not insignificant amounts),W,45.0,0.0,45.0,unauthorised trafficking (sect. 29 NCAct) - involving heroin,W,144,3,141,smuggling (sect. 29 NCA) - of heroin,f,17.0,1.0,16.0
2978,Transplant Act (unauthorised organ trafficking),x,2.0,0.0,2.0,unauthorised production of cannabis and preparations thereof (not insignificant amounts),x,732.0,44.0,688.0,"unauthorised dispensing and possession of methamphetamine in powder, cristalline or liquid form or in tablet or capsule form (not insignificant amounts)",x,123.0,18.0,105.0,unauthorised importation of crack (not insignificant amounts),x,0.0,0.0,0.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,x,3165.0,826.0,2339.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,X,3264.0,840.0,2424.0,unauthorised trafficking (sect. 29 NCA) - involving other drugs,X,3537.0,830.0,2707.0,unauthorised importation of heroin (not insignificant amounts),X,199.0,7.0,192.0,unauthorised trafficking (sect. 29 NCAct) - involving heroin,X,1326,57,1269,smuggling (sect. 29 NCA) - of heroin,w,128.0,7.0,121.0
2979,law restricting the transport and import of dogs,m,68.0,10.0,58.0,unauthorised production of other drugs (not insignificant amounts),m,28.0,2.0,26.0,unauthorised dispensing and possession of cannabis and preparations thereof (not insignificant amounts),m,1090.0,272.0,818.0,unauthorised importation of cocaine (not insignificant amounts),m,402.0,14.0,388.0,smuggling (sect. 29 NCA) - of other drugs,m,238.0,39.0,199.0,smuggling (sect. 29 NCA) - of other drugs,M,336.0,51.0,285.0,smuggling (sect. 29 NCA) - of other drugs,M,355.0,49.0,306.0,unauthorised importation of cocaine including crack (not insignificant amounts),M,315.0,18.0,297.0,smuggling (sect. 29 NCA) - of heroin,M,90,3,87,unauthorised trafficking in/smuggling of cocaine,m,5291.0,901.0,4390.0
2980,law restricting the transport and import of dogs,f,27.0,4.0,23.0,unauthorised production of other drugs (not insignificant amounts),f,1.0,0.0,1.0,unauthorised dispensing and possession of cannabis and preparations thereof (not insignificant amounts),f,110.0,21.0,89.0,unauthorised importation of cocaine (not insignificant amounts),f,52.0,2.0,50.0,smuggling (sect. 29 NCA) - of other drugs,f,43.0,4.0,39.0,smuggling (sect. 29 NCA) - of other drugs,W,68.0,6.0,62.0,smuggling (sect. 29 NCA) - of other drugs,W,114.0,11.0,103.0,unauthorised importation of cocaine including crack (not insignificant amounts),W,37.0,2.0,35.0,smuggling (sect. 29 NCA) - of heroin,W,14,1,13,unauthorised trafficking in/smuggling of cocaine,f,407.0,58.0,349.0
2981,law restricting the transport and import of dogs,x,95.0,14.0,81.0,unauthorised production of other drugs (not insignificant amounts),x,29.0,2.0,27.0,unauthorised dispensing and possession of cannabis and preparations thereof (not insignificant amounts),x,1200.0,293.0,907.0,unauthorised importation of cocaine (not insignificant amounts),x,454.0,16.0,438.0,smuggling (sect. 29 NCA) - of other drugs,x,281.0,43.0,238.0,smuggling (sect. 29 NCA) - of other drugs,X,404.0,57.0,347.0,smuggling (sect. 29 NCA) - of other drugs,X,469.0,60.0,409.0,unauthorised importation of cocaine including crack (not insignificant amounts),X,352.0,20.0,332.0,smuggling (sect. 29 NCA) - of heroin,X,104,4,100,unauthorised trafficking in/smuggling of cocaine,x,5698.0,959.0,4739.0
